Pos,Tm,Player,Age,Height,Weight,Hand,3P%,2P%,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
C PF PG SF SG,ATL BOS BRK CHI CHO CLE DAL DEN DET GSW HOU IND LAC LAL MEM MIA MIL MIN NOP NYK OKC ORL PHI PHO POR SAC SAS TOR UTA WAS,string,continuous,continuous,continuous,L R,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous
C,BOS,Luke Kornet,27.0,218.0,113.0,R,0.429,0.707,0.833,3.2,0.7,0.2,0.8,0.4,1.3,3.8
PF,SAS,Isaiah Roby,24.0,203.0,104.0,R,0.298,0.548,0.448,2.4,1.0,0.4,0.2,0.6,1.1,3.8
SG,LAC,Amir Coffey,25.0,201.0,95.0,L,0.321,0.394,0.814,1.2,1.3,0.2,0.1,0.4,1.1,3.7
PG,NYK,Miles McBride,22.0,188.0,90.0,R,0.273,0.500,0.684,0.7,1.1,0.6,0.0,0.5,0.9,3.7
C,PHO,Bismack Biyombo,30.0,203.0,115.0,R,,0.557,0.325,3.7,0.8,0.3,1.3,0.9,1.9,3.6
C,NYK,Jericho Sims,24.0,208.0,111.0,R,,0.779,0.800,4.2,0.3,0.2,0.6,0.4,1.6,3.6
PG,HOU,Daishen Nix,20.0,196.0,101.0,R,0.338,0.412,0.696,1.5,2.4,0.7,0.1,1.3,0.8,3.4
PF,PHI,P.J. Tucker,37.0,196.0,111.0,R,0.377,0.440,0.857,4.3,0.9,0.6,0.3,0.8,2.5,3.4
SG,DEN,Christian Braun,21.0,201.0,98.0,R,0.316,0.514,0.565,1.8,0.5,0.3,0.2,0.4,1.1,3.3
PF,HOU,Usman Garuba,20.0,203.0,99.0,R,0.409,0.560,0.559,4.8,1.0,0.7,0.5,0.8,1.8,3.3
C,PHI,Paul Reed,23.0,206.0,95.0,R,0.000,0.588,0.778,3.4,0.4,0.7,0.6,0.6,2.0,3.2
